pid,label,signer_birth,creator,description_en,description_sp,description_fr,location,tag,_date,object_type,language,order,layout,collection,thumbnail,manifest
bi-001,Hilton and Laura wedding photo,1920-1930,unknown,A photo of Laura and Joseph who were both deaf on their wedding day ,coming soon,coming soon,"Roatan, Honduras",historical-photo|photo|family-history|Bay-Islands|Roatan,date unknown,image,not applicable,00,minicomp_item,minicomp,"/img/derivatives/iiif/images/bi-001/full/250,/0/default.jpg",/img/derivatives/iiif/bi-001/manifest.json
bi-002,Deaf-blind Bay Islands signers and researchers from Trinidad,1950-1960,Kris Ali,"A photo of two deaf-blind signers in Roatan, Bay Islands being recorded by researchers from Trinidad",coming soon,coming soon,"Roatan, Honduras",Bay-Islands|Roatan|research,2018,image,not applicable,01,minicomp_item,minicomp,"/img/derivatives/iiif/images/bi-002/full/250,/0/default.jpg",/img/derivatives/iiif/bi-002/manifest.json
bi-003,Deaf Bay Islands signers as children,1920-1930,unknown,A photo of four deaf signers as children,coming soon,coming soon,"Roatan, Honduras",historical-photo|photo|family-history|Bay-Islands|Roatan,date unknown,image,not applicable,02,minicomp_item,minicomp,"/img/derivatives/iiif/images/bi-003/full/250,/0/default.jpg",/img/derivatives/iiif/bi-003/manifest.json
fal-001,Deaf Falmouth signers and researchers from Trinidad,1980-1990|1990-2000,Kris Ali,A photo of deaf signers in Falmouth being recorded by researchers from Trinidad,coming soon,coming soon,"Falmouth, Guyana",Guyana|Falmouth|research,2020,image,not applicable,03,minicomp_item,minicomp,"/img/derivatives/iiif/images/fal-001/full/250,/0/default.jpg",/img/derivatives/iiif/fal-001/manifest.json
pro-001,Washabaugh & ,1900,Washabaugh,Washabaugh and person on Providence Island,coming soon,coming soon,"Providence Island, Colombia",research|historical-photo,1970s,image,not applicable,04,minicomp_item,minicomp,"",""
pro-002,Some guy and children,1900,Washabaugh,Washabaugh and person on Providence Island,coming soon,coming soon,"Providence Island, Colombia",research|historical-photo,1970s,image,not applicable,05,minicomp_item,minicomp,"",""
tto-001,Peggy Parsons teaching Total Communication to teachers at Cascade School for the Deaf,unknown,unknown,Taken at Cascade School for the Deaf,coming soon,coming soon,"Trinidad, Trinidad and Tobago",historical-photo,1970s,image,not applicable,06,minicomp_item,minicomp,"/img/derivatives/iiif/images/tto-001/full/250,/0/default.jpg",/img/derivatives/iiif/tto-001/manifest.json
tto-002,Teachers and principal at Cascade School for the Deaf,unknown,unknown,Taken at Cascade School for the Deaf,coming soon,coming soon,"Trinidad, Trinidad and Tobago",historical-photo,1970s,image,not applicable,07,minicomp_item,minicomp,"/img/derivatives/iiif/images/tto-002/full/250,/0/default.jpg",/img/derivatives/iiif/tto-002/manifest.json
tto-003,Peggy Parsons teaching Total Communication at Cascade School for the Deaf,unknown,unknown,Taken at Cascade School for the Deaf,coming soon,coming soon,"Trinidad, Trinidad and Tobago",historical-photo,1980s,image,not applicable,08,minicomp_item,minicomp,"/img/derivatives/iiif/images/tto-003/full/250,/0/default.jpg",/img/derivatives/iiif/tto-003/manifest.json
tto-004,Sports competition at Cascade School for the Deaf,unknown,unknown,Taken at Cascade School for the Deaf,coming soon,coming soon,"Trinidad, Trinidad and Tobago",historical-photo,1980s,image,not applicable,09,minicomp_item,minicomp,"/img/derivatives/iiif/images/tto-004/full/250,/0/default.jpg",/img/derivatives/iiif/tto-004/manifest.json
